x,y,z,E
10000000000000.0,77426368268.11278,0.4540540540540541,28052327787162124288
10000000000000.0,77426368268.11278,0.44601769911504424,27405674667075129344
10000000000000.0,77426368268.11278,0.4382608695652174,26785033035895668736
10000000000000.0,77426368268.11278,0.4307692307692308,26188929386402557952
10000000000000.0,100000000000.0,0.509090909090909,33477533583548530688
10000000000000.0,100000000000.0,0.499009900990099,32624162394484367360
10000000000000.0,100000000000.0,0.4893203883495146,31808979736160579584
10000000000000.0,100000000000.0,0.48,31029579891916832768
10000000000000.0,100000000000.0,0.47102803738317756,30283750837120454656
10000000000000.0,100000000000.0,0.4623853211009174,29569455361692299264
10000000000000.0,100000000000.0,0.4540540540540541,28884814355330682880
10000000000000.0,100000000000.0,0.44601769911504424,28228091970602434560
10000000000000.0,100000000000.0,0.4382608695652174,27597682408217915392
